md5,處置,itemId,檔名,MB,保留正本
c46e619c9d304f6caf90d204d4879852,刪(進垃圾桶),1BVPSSJVBLxek6atpYbzx9lgZq4fdp0vd,有聲書：金剛經.mp3,51.8,金剛經(2017-12-01版，可廣為流傳).mp3
29ab2d9da53947542ed8d5acdca8c459,刪(進垃圾桶),1JOykL04qQdutgckGxBfBX__WfwPueDEz,大學1731.mp3,1.2,大學173.mp3
29c381589760ac32d834d569694660a7,刪(進垃圾桶),1uZpZWc6JYVTaTR4beZi7z1PAh3KAUpGu,美化心靈揮灑生命-蔡長鈞教授主講.mp3,175.2,美化心靈揮灑生命-蔡長鈞教授主講.mp3
9d24b3801f00ced2799a995aea6dc55f,刪(進垃圾桶),1A55trmI0vcyGp3EXkzxmFXwCpTTR6GLd,人生真諦HQ 蔡長鈞教授 感謝 You Tube 團隊將本片之畫質美化呈現.mp3,118.6,人生真諦HQ 蔡長鈞教授 感謝 You Tube 團隊將本片之畫質美化呈現.mp3
21dc948e030607fe703bfb693e72b156,刪(進垃圾桶),1Dfv2LNR1llun_-8aVAKde8kVVqRtAzRQ,♪清涼音 蔡長鈞教授．營造一個天堂般的家庭 - -如何在笑聲 書聲 歌聲中和諧相處.mp3,30.6,♪清涼音 蔡長鈞教授．營造一個天堂般的家庭 - -如何在笑聲 書聲 歌聲中和諧相處.mp3
7a966cb4ef01ad21553145c687c6a189,刪(進垃圾桶),16450dkOEfG-dcoi7yqlirwhj-akMMaNH,♪清涼音 蔡長鈞教授．讓習慣成為您孩子的好幫手 - -命好不如習慣好.mp3,19.4,♪清涼音 蔡長鈞教授．讓習慣成為您孩子的好幫手 - -命好不如習慣好.mp3
b69528693e6d5bb2c626d2881ad5d751,刪(進垃圾桶),1vX0o8cWGbk8Cv9I3k6qY3PAxrIOD-wRY,育典書院 心靈講座 王講師 白陽修士的志節.mp3,86.1,育典書院 心靈講座 王講師 白陽修士的志節.mp3
6c41cba1a22123a9100081aa0846fe0e,刪(進垃圾桶),1HtRa8gdE1aBow9eZGABhTxrb6VnD2Sex,20150829 2 正和二代菁英專題 青春的籌碼就要壓對寶(方向，人生真諦)_ 蔡長鈞點傳師慈悲.mp3,115.5,20150829 2 正和二代菁英專題 青春的籌碼就要壓對寶(方向，人生真諦)_ 蔡長鈞點傳師慈悲.mp3
dc317fde57c1868241fe4d973b33f863,刪(進垃圾桶),1C7AcHsSR5QTP3CQ2jWs7YEdkOLr_0Frj,20111121 柬不斷的愛 李政鍠 正恩佛堂 01 24 28 大屯區小組長培訓 (Low) - 複製.mp3,77.3,20111121 柬不斷的愛 李政鍠 正恩佛堂 01 24 28 大屯區小組長培訓 (Low) - 複製.mp3
5ff666d33f739ab69cccc02034c09453,刪(進垃圾桶),172_BKN0ynJfwzdTLlqZPTzbGEqTvwaQq,20121110 從靈性印證談生命的過去現在與未來 李傳相 正和書院 01 08 12 正和人才進階班 (Low) - 複製.mp3,62.5,20121110 從靈性印證談生命的過去現在與未來 李傳相 正和書院 01 08 12 正和人才進階班 (Low) - 複製.mp3
