現位置,層級,檔數,GB,建議歸位,信心
有聲書：白陽聖訓：大學,資料夾,384,0.41,H01.有聲書,高
有聲書：白陽聖訓：中庸,資料夾,338,0.35,H01.有聲書,高
有聲書：道統文化叢書：口袋書,資料夾,159,0.99,H01.有聲書,高
有聲書：大學證釋全書白話,資料夾,95,0.6,H01.有聲書,高
有聲書：六祖壇經,資料夾,86,0.49,H01.有聲書,高
有聲書：道德經講義,資料夾,82,0.68,H01.有聲書,高
有聲書：大學證釋全書大旨,資料夾,61,0.52,H01.有聲書,高
有聲書：孝經講義,資料夾,37,0.56,H01.有聲書,高
有聲書：金剛經,資料夾,33,0.12,H01.有聲書,高
有聲書：陽光小雨,資料夾,30,0.34,H01.有聲書,高
有聲書：光明智慧,資料夾,17,0.24,H01.有聲書,高
有聲書：皇母訓子十誡,資料夾,16,0.21,H01.有聲書,高
有聲書：桃園明聖經,資料夾,15,0.03,H01.有聲書,高
有聲書：王鳳儀言行錄,資料夾,14,0.15,H01.有聲書,高
有聲書：彌勒救苦真經,資料夾,7,0.05,H01.有聲書,高
了凡四訓,資料夾,55,1.7,H02.經典講述,中
易經集註：郭明義,資料夾,55,2.09,H02.經典講述,中
六祖壇經講記：郭明義,資料夾,46,2.91,H02.經典講述,中
彌勒真經註解：郭明義,資料夾,43,0.36,H02.經典講述,中
說卦、序卦、染卦、系卦,資料夾,34,0.06,H02.經典講述,中
三國演義原典,資料夾,16,0.04,H02.經典講述,中
金剛經：郭明義,資料夾,15,0.62,H02.經典講述,中
讀誦經典,資料夾,10,0.46,H02.經典講述,中
大學,資料夾,4,0.04,H02.經典講述,中
求道的時代意義,資料夾,533,0.93,H03.道義入門,中
道義入門,資料夾,19,0.06,H03.道義入門,中
道義入門 認理歸真更正(秀環錄音需整理),資料夾,19,0.01,H03.道義入門,中
因緣果報演講集,資料夾,13,0.63,H03.道義入門,中
齊家對修道的重要性,資料夾,4,0.06,H03.道義入門,中
如何扮演一個稱職的操辦人員,資料夾,3,0.12,H03.道義入門,中
老師的話,資料夾,37,0.92,H04.仙佛訓音,中
皇中訓子十誡MP3,資料夾,16,1.1,H04.仙佛訓音,中
老師慈悲,資料夾,9,0.06,H04.仙佛訓音,中
老師唱聖歌,資料夾,4,0.01,H04.仙佛訓音,中
天然古佛叮嚀囑語,資料夾,2,0.04,H04.仙佛訓音,中
佛教,資料夾,202,1.51,H05.通識演講,中
經濟,資料夾,35,8.36,H05.通識演講,中
企管,資料夾,24,3.95,H05.通識演講,中
看聖經學英語：耶穌說故事,資料夾,24,0.02,H05.通識演講,中
翟鴻燊演講,資料夾,13,0.52,H05.通識演講,中
國語入門,資料夾,2,0.09,H05.通識演講,中
(根目錄) 2023-02-03峨眉書院策劃會.m4a,散檔,1,0.375,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2023-01-31靈隱寺點傳師班：恭請韓老慈悲.m4a,散檔,1,0.264,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2023-01-30靈隱寺點傳師班：仙佛慈勉.m4a,散檔,1,0.268,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2021-10-21靈隱寺長青班會議.m4a,散檔,1,0.463,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2021-06-25釐清Workspace及網域相關事宜.mp3,散檔,1,0.314,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2020-05-10峨眉書院聯絡圈.mp3,散檔,1,0.176,H90.歷年活動（依檔名年份入年夾）,高
