現位置,層級,檔數,GB,建議歸位,信心
聖歌：善歌音樂檔,資料夾,1054,3.94,I01.聖歌,高
聖歌：天韻聖歌練習曲,資料夾,883,3.0,I01.聖歌,高
聖歌：發一靈隱：雅音集,資料夾,250,0.52,I01.聖歌,高
聖歌：印尼穆德佛院聖歌集,資料夾,116,0.4,I01.聖歌,高
聖歌：聖歌精選二,資料夾,101,0.37,I01.聖歌,高
聖歌：天音滿人間,資料夾,95,0.34,I01.聖歌,高
聖歌：2007加拿大溫尼辟慈化道院落成紀念聖歌集,資料夾,83,1.8,I01.聖歌,高
聖歌：仙佛慈音,資料夾,70,0.51,I01.聖歌,高
聖歌：發一崇德：光慧淨化歌曲,資料夾,70,0.26,I01.聖歌,高
聖歌：無上聖音,資料夾,48,0.2,I01.聖歌,高
聖歌：仙樂飄飄天上調,資料夾,39,0.16,I01.聖歌,高
聖歌：國語善歌,資料夾,36,0.13,I01.聖歌,高
聖歌：回家的路,資料夾,35,0.14,I01.聖歌,高
聖歌：元道聖殿聖歌集,資料夾,33,0.08,I01.聖歌,高
聖歌：發一靈隱：靈隱甘泉,資料夾,31,0.14,I01.聖歌,高
聖歌：發一靈隱：文慈菩薩成道三十週年紀念：傳承家風,資料夾,30,0.18,I01.聖歌,高
聖歌：天韻聖音七,資料夾,27,0.05,I01.聖歌,高
聖歌：發一靈隱：星星相惜：化星佛堂三十週年紀念,資料夾,27,0.13,I01.聖歌,高
聖歌：寶光建德聖歌,資料夾,26,0.08,I01.聖歌,高
聖歌：發一靈隱：慈航明燈：殊德仙君成道十週年紀念,資料夾,26,0.23,I01.聖歌,高
聖歌：好人才守則,資料夾,25,0.06,I01.聖歌,高
聖歌：發一慈濟：守志節,資料夾,25,0.1,I01.聖歌,高
聖歌：菩薩愿海情深,資料夾,25,0.11,I01.聖歌,高
聖歌：發一靈隱：儒志願行：至聖先師孔子二千五百六十年誕辰紀念,資料夾,24,0.1,I01.聖歌,高
聖歌：一盞明燈：國語善歌一,資料夾,23,0.05,I01.聖歌,高
聖歌：發一靈隱：大法船,資料夾,23,0.13,I01.聖歌,高
聖歌：發一靈隱：天慈啟航再肇新猷：天慈佛院落成二十週年紀念,資料夾,23,0.1,I01.聖歌,高
聖歌：發一靈隱：弘道以德：弘德班聖歌專輯,資料夾,23,0.11,I01.聖歌,高
聖歌：至善班聖歌培訓（卡啦ok）,資料夾,23,0.08,I01.聖歌,高
聖歌：發一崇德：上官萍聖歌,資料夾,22,0.08,I01.聖歌,高
聖歌：發一靈隱：步武聖哲：武聖宮三十週年紀念專輯,資料夾,22,0.06,I01.聖歌,高
聖歌：發一靈隱：聖歌集：卷二,資料夾,22,0.14,I01.聖歌,高
聖歌：發一崇德：光慧心靈樂府18：大地有愛,資料夾,21,0.06,I01.聖歌,高
聖歌：萬試如意,資料夾,21,0.07,I01.聖歌,高
聖歌：發一組：一貫宗風,資料夾,20,0.09,I01.聖歌,高
聖歌：發一靈隱：慧性慈心一菩薩,資料夾,20,0.07,I01.聖歌,高
聖歌：蓮花朵朵開,資料夾,20,0.07,I01.聖歌,高
聖歌：天韻聖音二：印尼,資料夾,19,0.06,I01.聖歌,高
