現位置,層級,檔數,GB,建議歸位,信心
2009年,資料夾,9255,9.12,J01.歷年照片（年夾原樣）,高
2011年,資料夾,9200,12.2,J01.歷年照片（年夾原樣）,高
2019年,資料夾,6466,30.82,J01.歷年照片（年夾原樣）,高
2018年,資料夾,6218,32.05,J01.歷年照片（年夾原樣）,高
2020年,資料夾,5474,48.71,J01.歷年照片（年夾原樣）,高
2010年,資料夾,5172,7.27,J01.歷年照片（年夾原樣）,高
2008年,資料夾,3083,3.17,J01.歷年照片（年夾原樣）,高
2007年,資料夾,2969,1.59,J01.歷年照片（年夾原樣）,高
2017年,資料夾,2857,18.5,J01.歷年照片（年夾原樣）,高
2012年,資料夾,2058,1.66,J01.歷年照片（年夾原樣）,高
2006年,資料夾,1213,0.46,J01.歷年照片（年夾原樣）,高
2004年,資料夾,1190,0.71,J01.歷年照片（年夾原樣）,高
2005年,資料夾,730,0.38,J01.歷年照片（年夾原樣）,高
2013年,資料夾,566,1.62,J01.歷年照片（年夾原樣）,高
2022年,資料夾,205,0.72,J01.歷年照片（年夾原樣）,高
2014年,資料夾,127,0.62,J01.歷年照片（年夾原樣）,高
2023年,資料夾,123,0.42,J01.歷年照片（年夾原樣）,高
2016年,資料夾,71,0.14,J01.歷年照片（年夾原樣）,高
2015年,資料夾,48,0.2,J01.歷年照片（年夾原樣）,高
2001年,資料夾,39,0.05,J01.歷年照片（年夾原樣）,高
2021年,資料夾,12,0.0,J01.歷年照片（年夾原樣）,高
2003年,資料夾,1,0.0,J01.歷年照片（年夾原樣）,高
中心照片,資料夾,9430,19.08,J02.中心照片,高
其他照片,資料夾,11381,16.76,J90.未整理,高
佛堂照片,資料夾,511,1.65,J待判:佛堂照片,低
器材照片,資料夾,99,0.31,J待判:器材照片,低
