現位置,層級,檔數,GB,建議歸位,信心
聖歌 FLV,資料夾,957,12.1,K01.聖歌影音,高
聖歌 FLV(音譯),資料夾,774,9.86,K01.聖歌影音,高
聖歌：靈隱道場聖歌,資料夾,118,29.63,K01.聖歌影音,高
聖歌 KTV,資料夾,95,1.89,K01.聖歌影音,高
聖歌：仙佛教我的歌,資料夾,57,12.85,K01.聖歌影音,高
聖歌：綸音雅頌：2022,資料夾,49,11.3,K01.聖歌影音,高
聖歌：2014年以德傳家系列,資料夾,22,5.79,K01.聖歌影音,高
聖歌：2014年以德傳家系列(音譯),資料夾,21,5.55,K01.聖歌影音,高
聖歌：綸音雅頌：2021,資料夾,18,4.62,K01.聖歌影音,高
聖歌,資料夾,15,3.83,K01.聖歌影音,高
聖歌：緬懷先賢德風道範,資料夾,15,3.71,K01.聖歌影音,高
聖歌：寄語知音：2019,資料夾,12,5.57,K01.聖歌影音,高
聖歌：靈隱道場聖歌：靈隱背景：音譯,資料夾,11,2.75,K01.聖歌影音,高
聖歌：天慈啟航再肇新猷：天慈佛院落成二十週年紀念,資料夾,10,0.9,K01.聖歌影音,高
聖歌：寄語知音：2018,資料夾,10,3.84,K01.聖歌影音,高
聖歌：禮恩佛院聖歌影片,資料夾,7,0.52,K01.聖歌影音,高
聖歌：2017靈隱頌,資料夾,6,0.38,K01.聖歌影音,高
聖歌：化星菩提書院落成專輯 HXI Inauguration Album,資料夾,5,0.29,K01.聖歌影音,高
聖歌：家風遠颺：2016靈隱寺感恩尋根之旅,資料夾,5,0.16,K01.聖歌影音,高
動畫：蔡志忠漫畫,資料夾,478,2.32,K02.動畫,高
動畫：魔法成語,資料夾,149,2.99,K02.動畫,高
動畫：蜜蜜甜心派,資料夾,120,2.04,K02.動畫,高
動畫：護生動畫100輯,資料夾,100,1.62,K02.動畫,高
動畫：孫武,資料夾,83,12.58,K02.動畫,高
動畫：小沙彌看世界：佛光山製作,資料夾,46,0.26,K02.動畫,高
動畫：濟公活佛勵志動畫,資料夾,32,3.06,K02.動畫,高
動畫：自在神童動畫1：法鼓山製作,資料夾,30,0.23,K02.動畫,高
動畫：自在神童動畫2：法鼓山製作,資料夾,30,0.2,K02.動畫,高
動畫：廿四孝卡通故事,資料夾,24,0.47,K02.動畫,高
動畫：佛教動畫故事：生命電視台,資料夾,15,0.26,K02.動畫,高
動畫：德育故事新版,資料夾,15,0.49,K02.動畫,高
動畫：孔子聖賢之道,資料夾,13,0.33,K02.動畫,高
動畫：地藏王菩薩的故事,資料夾,10,0.31,K02.動畫,高
動畫：3D妙法蓮華經,資料夾,8,0.18,K02.動畫,高
動畫：彌勒上生經3D動畫,資料夾,6,0.51,K02.動畫,高
有聲書：白陽聖訓：大學,資料夾,382,2.84,K03.有聲書影片版,高
有聲書：白陽聖訓：中庸,資料夾,338,2.65,K03.有聲書影片版,高
有聲書：道統文化叢書：口袋書,資料夾,160,9.35,K03.有聲書影片版,高
有聲書：大學證釋全書白話,資料夾,158,7.58,K03.有聲書影片版,高
有聲書：六祖壇經,資料夾,83,4.23,K03.有聲書影片版,高
有聲書：道德經講義,資料夾,83,5.69,K03.有聲書影片版,高
有聲書：大學證釋全書大旨,資料夾,65,3.73,K03.有聲書影片版,高
有聲書：孝經講義,資料夾,37,5.16,K03.有聲書影片版,高
有聲書：金剛經,資料夾,32,0.47,K03.有聲書影片版,高
有聲書：皇母訓子十誡,資料夾,15,1.72,K03.有聲書影片版,高
文書：華語雙拼：快注音,資料夾,182,2.95,K04.文書教學,高
文書：書法教學影片,資料夾,121,22.35,K04.文書教學,高
文書：硬筆字習字課研習：斗六習字課,資料夾,62,8.93,K04.文書教學,高
文書：法會文書培訓班,資料夾,8,1.0,K04.文書教學,高
文書：律動發音,資料夾,7,2.16,K04.文書教學,高
文書：王大哥書法字,資料夾,2,0.08,K04.文書教學,高
2018-06-30-07-02峨眉書院生活營,資料夾,97,18.16,K90.歷年活動（入年夾）,高
2010-12-30峨眉風光,資料夾,50,3.9,K90.歷年活動（入年夾）,高
