日期,活動名,命中來源數,待確認,錄音(H),相簿(J),影片(K),文件(C),辦事(D07)
1968-10-04,19681004廣緣佛堂,1,,,,,https://drive.google.com/file/d/1_5Ru_KqcabgZ6y0upSqBn7aBybSkddYK/view,
1971-07-23,1971-07-23宣德壇三天班正訓.tif,1,,,,,https://drive.google.com/file/d/10niliisPFjs4z1lN7n2YYj_eGMRtD3Wp/view,
1972-05-29,19720529陳氏佛堂,1,,,,,https://drive.google.com/file/d/13Xde2fEv53HTGT5ezJKNJ7tW5r0EZX01/view,
1973-11-11,1973-11-11義德壇三天班正訓.tif,1,,,,,https://drive.google.com/file/d/1Ayb1FNTYlPcPMyqk63pkWwtdYFRAnmdq/view | https://drive.google.com/file/d/1-wstIBp4CbBLHIGMtehvXCMaRHONALif/view,
1974-09-30,19740930新德(紅字),1,,,,,https://drive.google.com/file/d/1MlQrqCQQUDQf4OA0ck9-kFIfNG34P4EA/view,
1975-08-15,1975-08-15孝德壇三天班正訓.tif,1,,,,,https://drive.google.com/file/d/1sP-t_7MTGnlXFfCJvJquxWKKsW4aoFn-/view,
1979-01-01,1979-01-01和善堂：韓湘子大仙聖訓,1,,,,,https://drive.google.com/file/d/1K6fNIw1BUFAOdc_6wij_NAH9B2KuSGlm/view,
1979-10-19,19791019板橋李氏佛堂,1,,,,,https://drive.google.com/file/d/1OxxRArgXSUvqVA1ugGgXPsP2WH32SLuj/view,
1980-07-18,1980-07-18天然古佛降壇,1,,,,,https://drive.google.com/file/d/1pHJwPS9parW5CvenJ6BNeJbJodbQAU6l/view | https://drive.google.com/file/d/1Wqa3DMfEhfVY6ehk-JbYDSX0VHB16ctf/view,
1983-10-11,19831011中壢洪氏(開壇日期是陰曆陽曆),1,,,,,https://drive.google.com/file/d/1AC89c5jWavwKiwYWPyUJCVFHa1hBamEN/view,
1983-11-20,1983-11-20武聖宮落成,1,,,,https://drive.google.com/file/d/1iKL1aQ6jScHJcIF_XuvAe0bm6UOxzCwW/view,,
1983-12-02,19831202松山李氏佛堂,1,,,,,https://drive.google.com/file/d/1yx6FeySBTfO-e1pPHSvYUlFloFTqYBTb/view,
1984-03-29,19840329莊敬佛堂,1,,,,,https://drive.google.com/file/d/1-gypCkcW9QGmcAZ9Oost8x8qK9N3MU0i/view,
1984-04-13,19840413李鄭氏(家庭公共佛堂),1,,,,,https://drive.google.com/file/d/1Zzm-sFJWGwGccTsFQkmURDoTwno9l17V/view,
1985-05-10,1985-05-10蔡點傳師：赴美：於文慈菩薩陵寢前辭行：相簿#040,1,,,https://drive.google.com/file/d/17Epb0lTgrSJqmDMxW7ktsYVVsB5-uQbo/view,,,
1985-07-28,19850728廣濟,1,,,,,https://drive.google.com/file/d/1hqX8qy64hxmhDj2CRiLOZVROAjIljf63/view,
1985-10-25,19851025廣慈,1,,,,,https://drive.google.com/file/d/15SpAgUdeJ5jdazyygxaZ_-YqITnIQh4q/view,
1985-12-29,1985-12-29義德壇一天班正訓,1,,,,,https://drive.google.com/file/d/1bHBOP2ixGY5Ik3YI_v2cE5KD_a05X27H/view,
1986-03-03,1986-03-03三峽靈隱寺三天複習班,1,,,,,https://drive.google.com/file/d/1optqh11M0c-se3cVUYQjsjV-9gB8Wi0d/view,
